               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.034137,           0.0059105,             0.04126,             0.53293,             0.44753,             0.39431,             0.26952,            0.026775,           0.0047714,            0.040638,            0.002179,            0.002179,            0.002179
                  81,            0.033037,           0.0058246,            0.041487,             0.53595,              0.4394,             0.39663,             0.26954,            0.026728,           0.0048049,            0.040632,             0.00208,             0.00208,             0.00208
                  82,             0.03314,           0.0059938,            0.041766,             0.58934,             0.41235,              0.4006,             0.27606,            0.026784,           0.0047673,            0.040301,            0.001981,            0.001981,            0.001981
                  83,            0.032726,           0.0057784,            0.040686,             0.54443,             0.43753,             0.40271,              0.2763,            0.026596,           0.0047583,            0.040189,            0.001882,            0.001882,            0.001882
                  84,            0.032552,           0.0058526,            0.040426,             0.56695,             0.43036,              0.4065,             0.27956,            0.026699,           0.0047622,            0.039872,            0.001783,            0.001783,            0.001783
                  85,            0.032523,           0.0059049,            0.040648,             0.56061,             0.43236,             0.40706,             0.28009,            0.026672,           0.0047359,            0.039734,            0.001684,            0.001684,            0.001684
                  86,            0.032686,            0.005881,            0.040282,             0.57311,             0.41979,             0.40832,             0.28095,            0.026538,           0.0047219,            0.039472,            0.001585,            0.001585,            0.001585
                  87,            0.032317,           0.0058413,             0.04037,              0.5947,             0.40456,             0.40928,               0.281,            0.026546,           0.0047161,            0.039186,            0.001486,            0.001486,            0.001486
                  88,            0.032227,           0.0058507,            0.039756,             0.57812,              0.4179,             0.41242,             0.28485,            0.026507,           0.0047144,               0.039,            0.001387,            0.001387,            0.001387
                  89,            0.032048,           0.0056769,            0.039647,             0.61142,             0.40027,             0.41368,             0.28664,            0.026436,           0.0047023,            0.038861,            0.001288,            0.001288,            0.001288
                  90,            0.032006,           0.0057835,            0.039763,             0.58466,             0.41928,             0.41303,             0.28519,            0.026383,            0.004687,            0.038737,            0.001189,            0.001189,            0.001189
                  91,            0.031212,           0.0058187,            0.038569,             0.55802,             0.44457,             0.41465,             0.28535,            0.026349,            0.004674,            0.038539,             0.00109,             0.00109,             0.00109
                  92,            0.031156,           0.0057483,            0.038365,             0.56473,             0.43998,             0.41632,             0.28744,            0.026321,           0.0046575,            0.038336,            0.000991,            0.000991,            0.000991
                  93,            0.031608,           0.0056479,            0.037807,             0.54039,             0.43978,             0.41752,             0.28837,            0.026256,           0.0046505,            0.038183,            0.000892,            0.000892,            0.000892
                  94,            0.030306,           0.0057701,            0.038167,             0.62651,             0.40452,             0.41921,             0.28903,            0.026241,           0.0046473,            0.037979,            0.000793,            0.000793,            0.000793
                  95,            0.030671,           0.0056632,            0.037488,             0.59054,             0.41258,             0.41975,             0.28987,            0.026282,           0.0046419,            0.037818,            0.000694,            0.000694,            0.000694
                  96,            0.030576,           0.0056341,            0.036901,             0.62262,             0.40893,             0.42062,             0.29025,            0.026279,           0.0046384,            0.037702,            0.000595,            0.000595,            0.000595
                  97,            0.029991,           0.0057527,            0.037269,             0.58902,             0.42119,             0.42086,              0.2901,            0.026257,           0.0046401,            0.037698,            0.000496,            0.000496,            0.000496
                  98,            0.030198,           0.0056278,             0.03649,             0.58951,             0.41731,             0.42062,             0.29033,            0.026169,           0.0046288,            0.037559,            0.000397,            0.000397,            0.000397
                  99,            0.029831,             0.00565,            0.036717,             0.63114,             0.40717,             0.42152,              0.2903,            0.026174,           0.0046258,            0.037414,            0.000298,            0.000298,            0.000298
